,items,comp
499,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",-0.5238466262817383
305,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",-0.5237113833427429
731,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),-0.5175957679748535
926,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),-0.5162650346755981
583,Depth of credit information index (0=low to 8=high),-0.5147812366485596
991,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",-0.5138934850692749
325,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",-0.5091660022735596
226,"Interest payments on external debt (% of exports of goods, services and primary income)",-0.5064078569412231
60,Adjusted savings: education expenditure (% of GNI),-0.49317270517349243
319,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",-0.48948195576667786
110,Final consumption expenditure (annual % growth),-0.4876844882965088
280,Total debt service (% of GNI),-0.48537927865982056
875,"Suicide mortality rate, male (per 100,000 male population)",-0.48034411668777466
392,"School enrollment, preprimary, female (% gross)",-0.47887203097343445
279,Textiles and clothing (% of value added in manufacturing),-0.4778716266155243
589,"Interest rate spread (lending rate minus deposit rate, %)",-0.47054117918014526
1113,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),-0.46798986196517944
424,"Secondary education, vocational pupils (% female)",-0.46786606311798096
69,Adjusted savings: net forest depletion (current US$),-0.46502161026000977
927,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),-0.46445974707603455
512,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",-0.46287626028060913
375,"Primary education, pupils (% female)",-0.459344744682312
630,"Contraceptive prevalence, any methods (% of women ages 15-49)",-0.45623916387557983
399,"School enrollment, primary, female (% net)",-0.4557425081729889
6,Agricultural methane emissions (% of total),-0.4556593894958496
63,Adjusted savings: energy depletion (current US$),-0.45350760221481323
1118,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),-0.451565682888031
749,"Immunization, HepB3 (% of one-year-old children)",-0.45152395963668823
421,"Secondary education, teachers (% female)",-0.4466371536254883
988,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",-0.4458398222923279
935,"Children in employment, study and work (% of children in employment, ages 7-14)",-0.4408431947231293
544,People using safely managed sanitation services (% of population),-0.43987423181533813
1133,Merchandise trade (% of GDP),-0.43850570917129517
505,CO2 emissions from solid fuel consumption (% of total),-0.4340309500694275
878,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",-0.43356284499168396
1000,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",-0.431058406829834
999,Labor force with intermediate education (% of total working-age population with intermediate education),-0.42983609437942505
21,Crop production index (2004-2006 = 100),-0.4294789433479309
413,"School enrollment, tertiary, female (% gross)",-0.429324209690094
873,"Suicide mortality rate (per 100,000 population)",-0.4276493191719055
1082,Import value index (2000 = 100),-0.4213838279247284
356,"Net intake rate in grade 1, female (% of official school-age population)",-0.4173271059989929
285,Trade in services (% of GDP),-0.41165459156036377
205,"ICT service exports (% of service exports, BoP)",-0.41149595379829407
414,"School enrollment, tertiary, male (% gross)",-0.40887778997421265
370,"Primary completion rate, female (% of relevant age group)",-0.4069916605949402
582,"Depositors with commercial banks (per 1,000 adults)",-0.4046936631202698
876,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",-0.40463048219680786
708,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),-0.40396618843078613
327,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",-0.403367817401886
917,Adequacy of social safety net programs (% of total welfare of beneficiary households),-0.4033149778842926
410,"School enrollment, secondary, private (% of total secondary)",-0.40085530281066895
377,"Primary education, teachers (% female)",-0.4000186324119568
645,Firms with female participation in ownership (% of firms),-0.3994143605232239
701,ARI treatment (% of children under 5 taken to a health provider),-0.39619821310043335
781,"Nurses and midwives (per 1,000 people)",-0.3954799473285675
237,"Net errors and omissions (BoP, current US$)",-0.3942446708679199
94,Exports of goods and services (% of GDP),-0.39245641231536865
1,Agricultural irrigated land (% of total agricultural land),-0.3911736309528351
355,Net intake rate in grade 1 (% of official school-age population),-0.3905925750732422
1027,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.39000701904296875
495,CO2 emissions (kg per 2011 PPP $ of GDP),-0.3879522383213043
372,"Primary completion rate, total (% of relevant age group)",-0.38697949051856995
411,"School enrollment, tertiary (% gross)",-0.3861472010612488
321,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",-0.38546741008758545
467,Fossil fuel energy consumption (% of total),-0.38480234146118164
934,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",-0.3839886486530304
39,Rural population growth (annual %),-0.38221776485443115
903,Mobile cellular subscriptions (per 100 people),-0.3778955936431885
310,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",-0.3778706192970276
475,Natural gas rents (% of GDP),-0.37761610746383667
393,"School enrollment, preprimary, male (% gross)",-0.37566858530044556
391,"School enrollment, preprimary (% gross)",-0.3749197721481323
427,"Trained teachers in lower secondary education, female (% of female teachers)",-0.373256653547287
371,"Primary completion rate, male (% of relevant age group)",-0.3720775246620178
959,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),-0.3711510896682739
624,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",-0.37048569321632385
625,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",-0.3701106905937195
667,Pregnant women receiving prenatal care (%),-0.3671029210090637
817,"Population ages 50-54, male (% of male population)",-0.36598271131515503
395,"School enrollment, primary (% net)",-0.36358994245529175
397,"School enrollment, primary and secondary (gross), gender parity index (GPI)",-0.3620879054069519
1139,"Share of tariff lines with specific rates, manufactured products (%)",-0.3605142831802368
284,Trade (% of GDP),-0.35861778259277344
447,CO2 emissions from gaseous fuel consumption (% of total),-0.3583984375
818,"Population ages 55-59, female (% of female population)",-0.35751521587371826
956,Coverage of social safety net programs in poorest quintile (% of population),-0.35615116357803345
396,"School enrollment, primary (gross), gender parity index (GPI)",-0.3520970940589905
983,"Labor force participation rate for ages 15-24, male (%) (national estimate)",-0.35121098160743713
539,"People using at least basic sanitation services, rural (% of rural population)",-0.35111650824546814
201,Households and NPISHs Final consumption expenditure per capita growth (annual %),-0.3506268560886383
987,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",-0.3496953248977661
312,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",-0.34856435656547546
426,Trained teachers in lower secondary education (% of total teachers),-0.3478633165359497
425,"Tertiary education, academic staff (% female)",-0.34397152066230774
907,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",-0.3419339060783386
992,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.34048017859458923
599,"Official exchange rate (LCU per US$, period average)",-0.3396364450454712
816,"Population ages 50-54, female (% of female population)",-0.3375593423843384
633,"Employers, female (% of female employment) (modeled ILO estimate)",-0.33713334798812866
985,"Labor force participation rate for ages 15-24, total (%) (national estimate)",-0.33612480759620667
25,Fertilizer consumption (% of fertilizer production),-0.3351377248764038
346,"Literacy rate, adult total (% of people ages 15 and above)",-0.3345613479614258
558,Total greenhouse gas emissions (% change from 1990),-0.3338545560836792
326,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",-0.33274221420288086
186,Gross national expenditure deflator (base year varies by country),-0.3321481943130493
481,Pump price for diesel fuel (US$ per liter),-0.3315510153770447
958,Coverage of unemployment benefits and ALMP (% of population),-0.32858550548553467
342,"Labor force, female (% of total labor force)",-0.32829850912094116
291,"Adjusted net enrollment rate, primary, female (% of primary school age children)",-0.32802534103393555
960,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),-0.32600149512290955
365,"Persistence to last grade of primary, male (% of cohort)",-0.32519590854644775
415,"Secondary education, duration (years)",-0.3251335918903351
1003,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),-0.3245388865470886
207,Imports of goods and services (% of GDP),-0.3225449323654175
496,CO2 emissions (kg per PPP $ of GDP),-0.3218655288219452
404,"School enrollment, secondary (% net)",-0.3218248188495636
819,"Population ages 55-59, male (% of male population)",-0.32113826274871826
458,"Electricity production from oil, gas and coal sources (% of total)",-0.3208703398704529
881,UHC service coverage index,-0.31735536456108093
455,Electricity production from natural gas sources (% of total),-0.31696784496307373
402,"School enrollment, primary, private (% of total primary)",-0.3159727156162262
1079,Export volume index (2000 = 100),-0.31570377945899963
228,"Manufacturing, value added (% of GDP)",-0.3152574896812439
984,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-0.314431369304657
820,"Population ages 60-64, female (% of female population)",-0.3132893145084381
1001,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",-0.3126513957977295
538,People using at least basic sanitation services (% of population),-0.3119747042655945
344,"Literacy rate, adult female (% of females ages 15 and above)",-0.3114103376865387
821,"Population ages 60-64, male (% of male population)",-0.31132256984710693
86,"Communications, computer, etc. (% of service imports, BoP)",-0.31078195571899414
406,"School enrollment, secondary, female (% gross)",-0.31049036979675293
812,"Population ages 45-49, female (% of female population)",-0.30973637104034424
409,"School enrollment, secondary, male (% net)",-0.30857664346694946
636,"Employment in industry, male (% of male employment) (modeled ILO estimate)",-0.30669718980789185
628,"Condom use, population ages 15-24, female (% of females ages 15-24)",-0.3066968619823456
1105,Manufactures exports (% of merchandise exports),-0.3062819242477417
980,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",-0.3057151138782501
549,"People with basic handwashing facilities including soap and water, urban (% of urban population)",-0.3044019043445587
428,"Trained teachers in lower secondary education, male (% of male teachers)",-0.3032560646533966
322,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",-0.3032238483428955
474,Mineral rents (% of GDP),-0.3011784851551056
87,Current account balance (% of GDP),-0.29780906438827515
994,"Labor force with advanced education, female (% of female working-age population with advanced education)",-0.29760557413101196
747,"Hospital beds (per 1,000 people)",-0.29694491624832153
498,CO2 emissions (metric tons per capita),-0.29584842920303345
407,"School enrollment, secondary, female (% net)",-0.2946091294288635
417,"Secondary education, general pupils (% female)",-0.294552206993103
311,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",-0.2943941056728363
1126,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),-0.2934176027774811
578,Claims on private sector (annual growth as % of broad money),-0.2929295003414154
316,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",-0.2913897633552551
971,"Employment to population ratio, ages 15-24, female (%) (national estimate)",-0.2911640405654907
366,"Persistence to last grade of primary, total (% of cohort)",-0.2900203764438629
401,"School enrollment, primary, male (% net)",-0.2863793969154358
639,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",-0.2842506170272827
972,"Employment to population ratio, ages 15-24, male (%) (national estimate)",-0.28415435552597046
368,Population ages 15-64 (% of total),-0.2826525568962097
349,"Literacy rate, youth male (% of males ages 15-24)",-0.28228360414505005
1162,Population density (people per sq. km of land area),-0.28197914361953735
981,"Labor force participation rate for ages 15-24, female (%) (national estimate)",-0.28106147050857544
687,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",-0.2808653712272644
49,Adjusted net national income per capita (annual % growth),-0.27842897176742554
577,Claims on other sectors of the domestic economy (annual growth as % of broad money),-0.2776221036911011
680,"Survival to age 65, female (% of cohort)",-0.2767900228500366
516,Land area where elevation is below 5 meters (% of total land area),-0.27588799595832825
476,Nitrous oxide emissions in energy sector (% of total),-0.2757260203361511
540,"People using at least basic sanitation services, urban (% of urban population)",-0.2751246392726898
953,Coverage of social safety net programs in 2nd quintile (% of population),-0.2750129997730255
345,"Literacy rate, adult male (% of males ages 15 and above)",-0.2748783826828003
348,"Literacy rate, youth female (% of females ages 15-24)",-0.2733782231807709
572,Broad money growth (annual %),-0.27284660935401917
403,"School enrollment, secondary (% gross)",-0.2723088562488556
798,"Population ages 15-64, female (% of total)",-0.2696974277496338
822,Population ages 65 and above (% of total),-0.268851637840271
350,"Literacy rate, youth total (% of people ages 15-24)",-0.2676506042480469
547,People with basic handwashing facilities including soap and water (% of population),-0.26640060544013977
925,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),-0.26529109477996826
952,Coverage of social safety net programs (% of population),-0.26498955488204956
1125,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),-0.2628079950809479
412,"School enrollment, tertiary (gross), gender parity index (GPI)",-0.26176685094833374
229,"Manufacturing, value added (annual % growth)",-0.2592766284942627
11,Agricultural raw materials imports (% of merchandise imports),-0.2574455142021179
621,"Child employment in services, male (% of male economically active children ages 7-14)",-0.257173627614975
954,Coverage of social safety net programs in 3rd quintile (% of population),-0.2553861141204834
78,"Central government debt, total (% of GDP)",-0.2551470696926117
750,"Immunization, measles (% of children ages 12-23 months)",-0.2551192045211792
102,External balance on goods and services (% of GDP),-0.25423532724380493
654,"Life expectancy at birth, female (years)",-0.25403153896331787
546,"People using safely managed sanitation services, urban (% of urban population)",-0.2539162039756775
826,"Population ages 65 and above, male (% of total)",-0.2527986168861389
364,"Persistence to last grade of primary, female (% of cohort)",-0.25264447927474976
81,Changes in inventories (current US$),-0.2522278130054474
641,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",-0.25217676162719727
437,"Trained teachers in secondary education, male (% of male teachers)",-0.251770943403244
810,"Population ages 40-44, female (% of female population)",-0.2492443025112152
84,Chemicals (% of value added in manufacturing),-0.24855194985866547
785,"Physicians (per 1,000 people)",-0.24812647700309753
290,"Adjusted net enrollment rate, primary (% of primary school age children)",-0.24767008423805237
318,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",-0.24725326895713806
800,"Population ages 15-64, male (% of total)",-0.24664275348186493
811,"Population ages 40-44, male (% of male population)",-0.2459573745727539
357,"Net intake rate in grade 1, male (% of official school-age population)",-0.2459203600883484
574,Claims on central government (annual growth as % of broad money),-0.24561557173728943
828,"Population ages 65-69, female (% of female population)",-0.2447410225868225
974,"Employment to population ratio, ages 15-24, total (%) (national estimate)",-0.24342676997184753
748,"Immunization, DPT (% of children ages 12-23 months)",-0.2432345449924469
32,Livestock production index (2004-2006 = 100),-0.24150720238685608
965,Employment in industry (% of total employment) (modeled ILO estimate),-0.2413455843925476
808,"Population ages 35-39, female (% of female population)",-0.23963662981987
419,"Secondary education, pupils (% female)",-0.23950892686843872
320,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",-0.23881632089614868
408,"School enrollment, secondary, male (% gross)",-0.23868727684020996
829,"Population ages 65-69, male (% of male population)",-0.23827876150608063
453,Electricity production from coal sources (% of total),-0.23793956637382507
834,"Population ages 80 and above, female (% of female population)",-0.23787370324134827
536,"People using at least basic drinking water services, rural (% of rural population)",-0.23754563927650452
502,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),-0.23553460836410522
347,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",-0.23449143767356873
74,"Agriculture, forestry, and fishing, value added (annual % growth)",-0.23362749814987183
824,"Population ages 65 and above, female (% of total)",-0.2333989292383194
813,"Population ages 45-49, male (% of male population)",-0.23055407404899597
269,"Services, value added (% of GDP)",-0.23007771372795105
352,"Lower secondary completion rate, male (% of relevant age group)",-0.22975993156433105
657,Lifetime risk of maternal death (1 in: rate varies by country),-0.2284644991159439
838,"Population, female (% of total)",-0.2280282974243164
381,"Progression to secondary school, male (%)",-0.2277255356311798
755,"Life expectancy at birth, total (years)",-0.22701109945774078
328,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",-0.22687692940235138
832,"Population ages 75-79, female (% of female population)",-0.2267375886440277
313,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",-0.22645440697669983
518,Methane emissions (% change from 1990),-0.22541430592536926
275,Taxes less subsidies on products (current LCU),-0.2230730801820755
260,"Primary income on FDI, payments (current US$)",-0.22126731276512146
1054,Researchers in R&D (per million people),-0.220783531665802
1032,Income share held by highest 20%,-0.22044357657432556
545,"People using safely managed sanitation services, rural (% of rural population)",-0.21999087929725647
877,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",-0.21851477026939392
995,"Labor force with advanced education, male (% of male working-age population with advanced education)",-0.21836674213409424
435,Trained teachers in secondary education (% of total teachers),-0.2178514003753662
1149,"Tariff rate, most favored nation, simple mean, primary products (%)",-0.21754367649555206
292,"Adjusted net enrollment rate, primary, male (% of primary school age children)",-0.21674127876758575
563,Urban population living in areas where elevation is below 5 meters (% of total population),-0.21571730077266693
79,Changes in inventories (constant LCU),-0.2122330218553543
955,Coverage of social safety net programs in 4th quintile (% of population),-0.2109583020210266
809,"Population ages 35-39, male (% of male population)",-0.20952600240707397
15,Arable land (% of land area),-0.20930150151252747
833,"Population ages 75-79, male (% of male population)",-0.2085237205028534
1031,Income share held by highest 10%,-0.20691129565238953
170,Gross domestic savings (% of GDP),-0.20489001274108887
430,"Trained teachers in preprimary education, female (% of female teachers)",-0.2039523720741272
705,"Age dependency ratio, old (% of working-age population)",-0.20391589403152466
831,"Population ages 70-74, male (% of male population)",-0.20345619320869446
548,"People with basic handwashing facilities including soap and water, rural (% of rural population)",-0.20283666253089905
380,"Progression to secondary school, female (%)",-0.20277662575244904
712,"Cause of death, by non-communicable diseases (% of total)",-0.20231090486049652
688,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",-0.20059743523597717
127,GDP deflator (base year varies by country),-0.1998797059059143
511,Disaster risk reduction progress score (1-5 scale; 5=best),-0.1983618438243866
494,CO2 emissions (kg per 2010 US$ of GDP),-0.1974019557237625
647,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",-0.19718925654888153
973,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-0.19660764932632446
379,Progression to secondary school (%),-0.19660654664039612
1134,Net barter terms of trade index (2000 = 100),-0.19650492072105408
465,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",-0.1960170418024063
1026,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",-0.1930467188358307
323,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",-0.19292810559272766
429,Trained teachers in preprimary education (% of total teachers),-0.19244030117988586
967,"Employment to population ratio, 15+, female (%) (national estimate)",-0.19217747449874878
1072,"Computer, communications and other services (% of commercial service imports)",-0.19156397879123688
1065,"Binding coverage, primary products (%)",-0.1899668425321579
1166,Population in urban agglomerations of more than 1 million (% of total population),-0.18976323306560516
398,"School enrollment, primary, female (% gross)",-0.18940991163253784
273,Short-term debt (% of total reserves),-0.1891544610261917
615,Births attended by skilled health staff (% of total),-0.18883970379829407
339,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",-0.1882738471031189
353,"Lower secondary completion rate, total (% of relevant age group)",-0.18689440190792084
324,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",-0.18683840334415436
746,Female genital mutilation prevalence (%),-0.1860894411802292
569,"Borrowers from commercial banks (per 1,000 adults)",-0.18533840775489807
445,"Access to electricity, urban (% of urban population)",-0.18289954960346222
281,"Total debt service (% of exports of goods, services and primary income)",-0.1817120462656021
362,"Persistence to grade 5, male (% of cohort)",-0.17924857139587402
276,Taxes less subsidies on products (current US$),-0.1779327690601349
957,Coverage of social safety net programs in richest quintile (% of population),-0.17791107296943665
491,"Annual freshwater withdrawals, total (% of internal resources)",-0.17752747237682343
928,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),-0.17719727754592896
535,People using at least basic drinking water services (% of population),-0.17526036500930786
655,"Life expectancy at birth, male (years)",-0.1739363670349121
314,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",-0.17141738533973694
56,Adjusted savings: carbon dioxide damage (% of GNI),-0.170856773853302
89,DEC alternative conversion factor (LCU per US$),-0.16993246972560883
0,"Access to electricity, rural (% of rural population)",-0.16976794600486755
330,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",-0.1682008057832718
351,"Lower secondary completion rate, female (% of relevant age group)",-0.1669279932975769
537,"People using at least basic drinking water services, urban (% of urban population)",-0.1663794219493866
1127,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),-0.16299627721309662
488,Access to clean fuels and technologies for cooking (% of population),-0.161515474319458
542,"People using safely managed drinking water services, rural (% of rural population)",-0.16048309206962585
106,External debt stocks (% of GNI),-0.15901067852973938
918,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),-0.15850678086280823
490,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",-0.15823768079280853
736,Domestic general government health expenditure (% of general government expenditure),-0.15651483833789825
99,Exports of goods and services (current LCU),-0.15592949092388153
931,Child employment in services (% of economically active children ages 7-14),-0.15545757114887238
986,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",-0.15529388189315796
444,Access to electricity (% of population),-0.15430618822574615
525,Nitrous oxide emissions (% change from 1990),-0.15277737379074097
1104,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),-0.14980997145175934
227,Machinery and transport equipment (% of value added in manufacturing),-0.1478986293077469
82,"Charges for the use of intellectual property, payments (BoP, current US$)",-0.1476101130247116
1146,"Tariff rate, applied, weighted mean, primary products (%)",-0.14708691835403442
270,"Services, value added (annual % growth)",-0.14681270718574524
405,"School enrollment, secondary (gross), gender parity index (GPI)",-0.1457907259464264
932,"Children in employment, self-employed (% of children in employment, ages 7-14)",-0.1453920602798462
513,Forest rents (% of GDP),-0.14517588913440704
315,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",-0.14296919107437134
143,GNI growth (annual %),-0.14260083436965942
915,Adequacy of social insurance programs (% of total welfare of beneficiary households),-0.14211034774780273
1045,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",-0.1405295580625534
1046,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",-0.13892515003681183
5,"Agricultural machinery, tractors per 100 sq. km of arable land",-0.13685214519500732
59,Adjusted savings: consumption of fixed capital (current US$),-0.13661646842956543
200,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),-0.13620425760746002
830,"Population ages 70-74, female (% of female population)",-0.1355614811182022
247,Net secondary income (Net current transfers from abroad) (current US$),-0.13493618369102478
179,"Gross fixed capital formation, private sector (% of GDP)",-0.13441213965415955
602,Public credit registry coverage (% of adults),-0.13426856696605682
976,GDP per person employed (constant 2011 PPP $),-0.1321168839931488
1152,"Tariff rate, most favored nation, weighted mean, primary products (%)",-0.13184428215026855
242,Net primary income (Net income from abroad) (current LCU),-0.13048484921455383
27,Food production index (2004-2006 = 100),-0.12974992394447327
565,"Automated teller machines (ATMs) (per 100,000 adults)",-0.129298597574234
951,Coverage of social protection and labor programs (% of population),-0.1289910525083542
872,"Specialist surgical workforce (per 100,000 population)",-0.12894701957702637
1160,Travel services (% of commercial service exports),-0.12845905125141144
733,Diarrhea treatment (% of children under 5 who received ORS packet),-0.12769193947315216
1028,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",-0.12567326426506042
466,Firms using banks to finance investment (% of firms),-0.12561969459056854
883,Use of insecticide-treated bed nets (% of under-5 population),-0.12456002831459045
117,"Food, beverages and tobacco (% of value added in manufacturing)",-0.12386327236890793
1138,"Share of tariff lines with specific rates, all products (%)",-0.12385112047195435
1068,"Bound rate, simple mean, primary products (%)",-0.12349708378314972
969,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.12287445366382599
982,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",-0.12285401672124863
989,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",-0.12267282605171204
363,"Persistence to grade 5, total (% of cohort)",-0.12263830006122589
543,"People using safely managed drinking water services, urban (% of urban population)",-0.12248612195253372
835,"Population ages 80 and above, male (% of male population)",-0.12144629657268524
720,"Completeness of birth registration, rural (%)",-0.11958710849285126
212,Imports of goods and services (current LCU),-0.1190359890460968
436,"Trained teachers in secondary education, female (% of female teachers)",-0.11750949174165726
