,items,comp
240,"Net primary income (BoP, current US$)",-0.23248672485351562
92,Expense (% of GDP),-0.23155823349952698
451,Electric power consumption (kWh per capita),-0.23090142011642456
646,Firms with female top manager (% of firms),-0.22977633774280548
613,Wholesale price index (2010 = 100),-0.22952350974082947
104,External balance on goods and services (current LCU),-0.2274416983127594
305,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",-0.22639670968055725
724,Completeness of total death reporting (% of reported total deaths to estimated total deaths),-0.22312897443771362
959,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),-0.2216251939535141
1168,Urban population (% of total),-0.22091683745384216
679,"Smoking prevalence, males (% of adults)",-0.21819794178009033
596,Net domestic credit (current LCU),-0.21768400073051453
962,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),-0.21598026156425476
254,"Personal remittances, received (% of GDP)",-0.2156810760498047
98,Exports of goods and services (constant LCU),-0.2142801582813263
1013,"Unemployment with basic education, female (% of female labor force with basic education)",-0.21355339884757996
1133,Merchandise trade (% of GDP),-0.2131466567516327
397,"School enrollment, primary and secondary (gross), gender parity index (GPI)",-0.2118757665157318
958,Coverage of unemployment benefits and ALMP (% of population),-0.20719870924949646
981,"Labor force participation rate for ages 15-24, female (%) (national estimate)",-0.2054225504398346
243,Net primary income (Net income from abroad) (current US$),-0.20504942536354065
388,"Repeaters, primary, female (% of female enrollment)",-0.20499202609062195
225,Interest payments on external debt (% of GNI),-0.20433560013771057
35,Rural land area where elevation is below 5 meters (% of total land area),-0.20340749621391296
571,Broad money (current LCU),-0.2021166831254959
211,Imports of goods and services (constant LCU),-0.2017296403646469
435,Trained teachers in secondary education (% of total teachers),-0.20158644020557404
412,"School enrollment, tertiary (gross), gender parity index (GPI)",-0.20095869898796082
514,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),-0.19931840896606445
968,"Employment to population ratio, 15+, male (%) (national estimate)",-0.1979801058769226
509,Capture fisheries production (metric tons),-0.19688263535499573
40,Rural population living in areas where elevation is below 5 meters (% of total population),-0.19620922207832336
228,"Manufacturing, value added (% of GDP)",-0.19472751021385193
751,Incidence of HIV (% of uninfected population ages 15-49),-0.1938127875328064
312,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",-0.19372907280921936
1155,"Time to export, documentary compliance (hours)",-0.19320908188819885
1169,Urban population growth (annual %),-0.19245915114879608
390,"Repeaters, primary, total (% of total enrollment)",-0.19114649295806885
183,Gross national expenditure (constant LCU),-0.1894528865814209
277,"Technical cooperation grants (BoP, current US$)",-0.18941713869571686
99,Exports of goods and services (current LCU),-0.18888825178146362
117,"Food, beverages and tobacco (% of value added in manufacturing)",-0.18797358870506287
1008,"Share of youth not in education, employment or training, total (% of youth population)",-0.18781638145446777
1061,Arms imports (SIPRI trend indicator values),-0.18741342425346375
241,Net primary income (Net income from abroad) (constant LCU),-0.18614113330841064
842,"Prevalence of HIV, total (% of population ages 15-49)",-0.18614038825035095
288,"Travel services (% of service exports, BoP)",-0.18282529711723328
951,Coverage of social protection and labor programs (% of population),-0.18272611498832703
301,"Children out of school, primary, male",-0.1826721578836441
1130,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),-0.18169662356376648
668,"Prevalence of HIV, female (% ages 15-24)",-0.17945700883865356
189,Gross savings (current LCU),-0.1791379600763321
279,Textiles and clothing (% of value added in manufacturing),-0.17835012078285217
593,"Listed domestic companies, total",-0.17725518345832825
93,Exports as a capacity to import (constant LCU),-0.17721131443977356
803,"Population ages 20-24, male (% of male population)",-0.17716911435127258
634,"Employers, male (% of male employment) (modeled ILO estimate)",-0.1768476665019989
8,Agricultural nitrous oxide emissions (% of total),-0.17641323804855347
1097,"Lead time to import, median case (days)",-0.17592765390872955
429,Trained teachers in preprimary education (% of total teachers),-0.17569980025291443
715,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),-0.17394901812076569
612,Total reserves in months of imports,-0.17283369600772858
836,Population growth (annual %),-0.1722451150417328
964,"Employers, total (% of total employment) (modeled ILO estimate)",-0.17174726724624634
541,People using safely managed drinking water services (% of population),-0.1707942634820938
675,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),-0.17072875797748566
1062,Average time to clear exports through customs (days),-0.16936428844928741
157,General government final consumption expenditure (constant LCU),-0.16796204447746277
597,Net foreign assets (current LCU),-0.16648823022842407
399,"School enrollment, primary, female (% net)",-0.16626302897930145
1136,"Share of tariff lines with international peaks, manufactured products (%)",-0.1662003993988037
960,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),-0.16565443575382233
614,"Adolescent fertility rate (births per 1,000 women ages 15-19)",-0.16521987318992615
464,Energy use (kg of oil equivalent per capita),-0.16456884145736694
578,Claims on private sector (annual growth as % of broad money),-0.1639775037765503
138,GDP: linked series (current LCU),-0.16375571489334106
549,"People with basic handwashing facilities including soap and water, urban (% of urban population)",-0.1635274887084961
572,Broad money growth (annual %),-0.1625283658504486
311,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",-0.16241735219955444
112,Final consumption expenditure (constant LCU),-0.1618984043598175
158,General government final consumption expenditure (current LCU),-0.1611545830965042
70,Adjusted savings: net national savings (% of GNI),-0.16100507974624634
300,"Children out of school, primary, female",-0.16045427322387695
985,"Labor force participation rate for ages 15-24, total (%) (national estimate)",-0.15946659445762634
547,People with basic handwashing facilities including soap and water (% of population),-0.15900036692619324
528,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-0.1581956297159195
384,"Pupil-teacher ratio, primary",-0.15795595943927765
459,"Electricity production from renewable sources, excluding hydroelectric (% of total)",-0.1570272594690323
563,Urban population living in areas where elevation is below 5 meters (% of total population),-0.15685559809207916
928,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),-0.15681388974189758
594,Market capitalization of listed domestic companies (% of GDP),-0.15568870306015015
128,GDP growth (annual %),-0.15428811311721802
334,"Government expenditure on education, total (% of GDP)",-0.15334954857826233
900,Investment in water and sanitation with private participation (current US$),-0.1515806019306183
557,Total fisheries production (metric tons),-0.15106645226478577
1149,"Tariff rate, most favored nation, simple mean, primary products (%)",-0.15051427483558655
113,Final consumption expenditure (current LCU),-0.14867398142814636
212,Imports of goods and services (current LCU),-0.1484345644712448
701,ARI treatment (% of children under 5 taken to a health provider),-0.14758586883544922
776,Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,-0.14687225222587585
773,Number of maternal deaths,-0.14583487808704376
775,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,-0.14437197148799896
258,"Portfolio investment, net (BoP, current US$)",-0.14387038350105286
216,"Industry (including construction), value added (annual % growth)",-0.14268577098846436
774,Number of neonatal deaths,-0.14263032376766205
1129,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),-0.14246302843093872
518,Methane emissions (% change from 1990),-0.1423669308423996
325,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",-0.13932281732559204
493,Aquaculture production (metric tons),-0.13847723603248596
58,Adjusted savings: consumption of fixed capital (% of GNI),-0.13827235996723175
630,"Contraceptive prevalence, any methods (% of women ages 15-49)",-0.13729363679885864
997,"Labor force with basic education, female (% of female working-age population with basic education)",-0.13713108003139496
299,"Children out of school, primary",-0.13693074882030487
777,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,-0.1362004280090332
197,Households and NPISHs Final consumption expenditure (constant LCU),-0.13615885376930237
1161,Travel services (% of commercial service imports),-0.13606038689613342
494,CO2 emissions (kg per 2010 US$ of GDP),-0.13490907847881317
510,Coal rents (% of GDP),-0.1342124491930008
906,Public private partnerships investment in water and sanitation (current US$),-0.13381245732307434
1057,"Trademark applications, direct nonresident",-0.13331934809684753
167,Gross capital formation (current LCU),-0.1327122002840042
319,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",-0.1326652467250824
331,Expenditure on primary education (% of government expenditure on education),-0.1305324137210846
542,"People using safely managed drinking water services, rural (% of rural population)",-0.13046938180923462
771,Number of deaths ages 5-14 years,-0.129856675863266
192,Gross value added at basic prices (GVA) (constant LCU),-0.1280020922422409
289,"Travel services (% of service imports, BoP)",-0.1276921182870865
290,"Adjusted net enrollment rate, primary (% of primary school age children)",-0.1266893595457077
840,"Population, male (% of total)",-0.12641151249408722
180,"Gross fixed capital formation, private sector (current LCU)",-0.12619516253471375
1,Agricultural irrigated land (% of total agricultural land),-0.12497738003730774
184,Gross national expenditure (current LCU),-0.12472981214523315
582,"Depositors with commercial banks (per 1,000 adults)",-0.12329687178134918
732,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),-0.12321393936872482
291,"Adjusted net enrollment rate, primary, female (% of primary school age children)",-0.12308375537395477
198,Households and NPISHs Final consumption expenditure (current LCU),-0.12304142117500305
772,Number of infant deaths,-0.12251272052526474
875,"Suicide mortality rate, male (per 100,000 male population)",-0.12100845575332642
553,"Renewable internal freshwater resources, total (billion cubic meters)",-0.12062215805053711
125,GDP (current LCU),-0.12037494033575058
856,Prevalence of undernourishment (% of population),-0.12033932656049728
37,Rural population,-0.11993563175201416
868,Risk of catastrophic expenditure for surgical care (% of people at risk),-0.11933943629264832
124,GDP (constant LCU),-0.1184363141655922
780,Number of under-five deaths,-0.1183212548494339
361,"Persistence to grade 5, female (% of cohort)",-0.11824911832809448
177,Gross fixed capital formation (current LCU),-0.11779506504535675
653,Legislation exists on domestic violence (1=yes; 0=no),-0.11754003167152405
938,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",-0.11672145128250122
778,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,-0.11635743826627731
1006,"Share of youth not in education, employment or training, female (% of female youth population)",-0.11570330709218979
141,GNI (current LCU),-0.11563219875097275
231,"Manufacturing, value added (constant LCU)",-0.11462193727493286
327,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",-0.11452747881412506
722,Completeness of death registration with cause-of-death information (%),-0.11412987112998962
786,"Population ages 0-14, female",-0.11386356502771378
284,Trade (% of GDP),-0.11322419345378876
912,Secure Internet servers (per 1 million people),-0.11200404167175293
1135,"Share of tariff lines with international peaks, all products (%)",-0.11133261024951935
395,"School enrollment, primary (% net)",-0.1112949475646019
56,Adjusted savings: carbon dioxide damage (% of GNI),-0.11112722754478455
1052,"Patent applications, residents",-0.11069488525390625
897,"Industrial design applications, resident, by count",-0.11055386066436768
865,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),-0.11037732660770416
804,"Population ages 25-29, female (% of female population)",-0.109774649143219
401,"School enrollment, primary, male (% net)",-0.10959415882825851
362,"Persistence to grade 5, male (% of cohort)",-0.10931305587291718
347,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",-0.10842153429985046
169,Gross domestic income (constant LCU),-0.10837534815073013
788,"Population ages 0-14, male",-0.10803816467523575
608,"Stocks traded, total value (current US$)",-0.10716748237609863
595,Market capitalization of listed domestic companies (current US$),-0.10655423253774643
935,"Children in employment, study and work (% of children in employment, ages 7-14)",-0.10651567578315735
171,Gross domestic savings (current LCU),-0.10632189363241196
26,Fertilizer consumption (kilograms per hectare of arable land),-0.10525238513946533
797,"Population ages 15-64, female",-0.10492472350597382
343,"Labor force, total",-0.10423173010349274
543,"People using safely managed drinking water services, urban (% of urban population)",-0.1041179746389389
913,"Trademark applications, nonresident, by count",-0.10395224392414093
787,"Population ages 0-14, female (% of total)",-0.10374759137630463
90,Discrepancy in expenditure estimate of GDP (constant LCU),-0.10356980562210083
28,Forest area (% of land area),-0.1035398617386818
718,"Completeness of birth registration, female (%)",-0.10336758196353912
790,"Population ages 0-14, total",-0.1024499386548996
176,Gross fixed capital formation (constant LCU),-0.10214096307754517
863,Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),-0.10209161043167114
1059,"Trademark applications, total",-0.10113207995891571
719,"Completeness of birth registration, male (%)",-0.10098753124475479
364,"Persistence to last grade of primary, female (% of cohort)",-0.1003425121307373
688,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",-0.10000171512365341
548,"People with basic handwashing facilities including soap and water, rural (% of rural population)",-0.09979109466075897
193,Gross value added at basic prices (GVA) (current LCU),-0.09918157011270523
430,"Trained teachers in preprimary education, female (% of female teachers)",-0.09895285964012146
624,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",-0.09848898649215698
238,"Net financial account (BoP, current US$)",-0.09836445748806
466,Firms using banks to finance investment (% of firms),-0.0972779393196106
795,"Population ages 15-19, female (% of female population)",-0.09662900120019913
232,"Manufacturing, value added (current LCU)",-0.09661010652780533
292,"Adjusted net enrollment rate, primary, male (% of primary school age children)",-0.09625433385372162
669,"Prevalence of HIV, male (% ages 15-24)",-0.09533873200416565
367,Population ages 0-14 (% of total),-0.09495411813259125
7,Agricultural methane emissions (thousand metric tons of CO2 equivalent),-0.09390959143638611
218,"Industry (including construction), value added (constant LCU)",-0.09385383129119873
3,Agricultural land (sq. km),-0.09382127970457077
807,"Population ages 30-34, male (% of male population)",-0.09294043481349945
975,Female share of employment in senior and middle management (%),-0.09276024997234344
383,"Pupil-teacher ratio, preprimary",-0.09267070144414902
796,"Population ages 15-19, male (% of male population)",-0.09237770736217499
792,"Population ages 0-4, male (% of male population)",-0.09212838113307953
1142,"Tariff rate, applied, simple mean, manufactured products (%)",-0.09187879413366318
418,"Secondary education, pupils",-0.09167639911174774
885,"Air transport, freight (million ton-km)",-0.09127689152956009
1148,"Tariff rate, most favored nation, simple mean, manufactured products (%)",-0.09086284786462784
396,"School enrollment, primary (gross), gender parity index (GPI)",-0.0905400961637497
376,"Primary education, teachers",-0.08986572176218033
839,"Population, male",-0.08972080051898956
482,Pump price for gasoline (US$ per liter),-0.08958679437637329
801,"Population ages 15-64, total",-0.08908955752849579
54,"Adjusted net savings, including particulate emission damage (% of GNI)",-0.08805124461650848
140,GNI (constant LCU),-0.08726395666599274
569,"Borrowers from commercial banks (per 1,000 adults)",-0.08719253540039062
1012,Unemployment with basic education (% of total labor force with basic education),-0.08710917830467224
256,"Personal transfers, receipts (BoP, current US$)",-0.08708123862743378
1146,"Tariff rate, applied, weighted mean, primary products (%)",-0.084750235080719
486,Total natural resources rents (% of GDP),-0.08387795090675354
1141,"Tariff rate, applied, simple mean, all products (%)",-0.08374792337417603
372,"Primary completion rate, total (% of relevant age group)",-0.08199708163738251
515,HFC gas emissions (thousand metric tons of CO2 equivalent),-0.08138784766197205
246,Net secondary income (Net current transfers from abroad) (current LCU),-0.0807904526591301
841,"Population, total",-0.08074979484081268
1147,"Tariff rate, most favored nation, simple mean, all products (%)",-0.08048593997955322
115,Financial intermediary services indirectly Measured (FISIM) (constant LCU),-0.08034109324216843
1118,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),-0.08010311424732208
791,"Population ages 0-4, female (% of female population)",-0.0801011174917221
793,"Population ages 10-14, female (% of female population)",-0.07996944338083267
588,"Inflation, GDP deflator: linked series (annual %)",-0.0794195830821991
91,Discrepancy in expenditure estimate of GDP (current LCU),-0.07921919226646423
554,SF6 gas emissions (thousand metric tons of CO2 equivalent),-0.0789792388677597
615,Births attended by skilled health staff (% of total),-0.07897474616765976
1091,"International tourism, number of departures",-0.07887997478246689
799,"Population ages 15-64, male",-0.07760800421237946
321,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",-0.07686252892017365
77,"Agriculture, forestry, and fishing, value added (current LCU)",-0.076328344643116
52,"Adjusted net savings, excluding particulate emission damage (% of GNI)",-0.07623815536499023
654,"Life expectancy at birth, female (years)",-0.0754830464720726
996,Labor force with basic education (% of total working-age population with basic education),-0.07507914304733276
75,"Agriculture, forestry, and fishing, value added (constant 2010 US$)",-0.07432934641838074
1152,"Tariff rate, most favored nation, weighted mean, primary products (%)",-0.07414281368255615
873,"Suicide mortality rate (per 100,000 population)",-0.0739869624376297
963,Coverage of unemployment benefits and ALMP in richest quintile (% of population),-0.07393458485603333
802,"Population ages 20-24, female (% of female population)",-0.07313182950019836
219,"Industry (including construction), value added (current LCU)",-0.07307788729667664
370,"Primary completion rate, female (% of relevant age group)",-0.0729246586561203
221,"Inflation, GDP deflator (annual %)",-0.07271075248718262
567,Bank liquid reserves to bank assets ratio (%),-0.07243561744689941
416,"Secondary education, general pupils",-0.07242917269468307
438,Trained teachers in upper secondary education (% of total teachers),-0.07226000726222992
1003,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),-0.07173440605401993
255,"Personal remittances, received (current US$)",-0.0715857744216919
425,"Tertiary education, academic staff (% female)",-0.07137152552604675
750,"Immunization, measles (% of children ages 12-23 months)",-0.07093071937561035
154,General government final consumption expenditure (% of GDP),-0.07092413306236267
710,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",-0.07047630101442337
498,CO2 emissions (metric tons per capita),-0.0700293555855751
888,Container port traffic (TEU: 20 foot equivalent units),-0.06993909180164337
9,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),-0.06992121785879135
814,"Population ages 5-9, female (% of female population)",-0.0691986083984375
382,"Pupil-teacher ratio, lower secondary",-0.06894548237323761
1072,"Computer, communications and other services (% of commercial service imports)",-0.06850128620862961
13,"Agriculture, forestry, and fishing, value added (current US$)",-0.06820351630449295
661,"Mortality rate, adult, male (per 1,000 male adults)",-0.06778907030820847
444,Access to electricity (% of population),-0.06758871674537659
559,Total greenhouse gas emissions (kt of CO2 equivalent),-0.06746715307235718
405,"School enrollment, secondary (gross), gender parity index (GPI)",-0.06674768775701523
837,"Population, female",-0.06631384044885635
1051,"Patent applications, nonresidents",-0.06624382734298706
914,"Trademark applications, resident, by count",-0.06598600000143051
76,"Agriculture, forestry, and fishing, value added (constant LCU)",-0.06568548083305359
1114,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),-0.06556254625320435
103,External balance on goods and services (constant LCU),-0.06518743932247162
1077,Customs and other import duties (% of tax revenue),-0.06481769680976868
419,"Secondary education, pupils (% female)",-0.06464625149965286
827,"Population ages 65 and above, total",-0.06403951346874237
487,Value lost due to electrical outages (% of sales for affected firms),-0.06279367208480835
