,items,comp
987,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",-0.6031500697135925
653,Legislation exists on domestic violence (1=yes; 0=no),-0.6026091575622559
708,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),-0.6001777052879333
985,"Labor force participation rate for ages 15-24, total (%) (national estimate)",-0.5980721116065979
873,"Suicide mortality rate (per 100,000 population)",-0.5911891460418701
147,GNI per capita growth (annual %),-0.5893654227256775
305,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",-0.5828914642333984
201,Households and NPISHs Final consumption expenditure per capita growth (annual %),-0.5808707475662231
647,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",-0.5763717293739319
639,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",-0.5753603577613831
662,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),-0.5732388496398926
1028,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",-0.5706537961959839
523,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",-0.5607423186302185
672,Proportion of seats held by women in national parliaments (%),-0.5581704378128052
984,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",-0.5570833683013916
1062,Average time to clear exports through customs (days),-0.5541910529136658
462,Energy intensity level of primary energy (MJ/$2011 PPP GDP),-0.5463317632675171
334,"Government expenditure on education, total (% of GDP)",-0.5395148396492004
972,"Employment to population ratio, ages 15-24, male (%) (national estimate)",-0.5352389812469482
995,"Labor force with advanced education, male (% of male working-age population with advanced education)",-0.534203052520752
6,Agricultural methane emissions (% of total),-0.5341393947601318
604,Real interest rate (%),-0.5339625477790833
714,Children (ages 0-14) newly infected with HIV,-0.5287795066833496
556,Terrestrial protected areas (% of total land area),-0.5270272493362427
713,Children (0-14) living with HIV,-0.5188496112823486
973,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-0.5166956186294556
731,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),-0.5088334083557129
1072,"Computer, communications and other services (% of commercial service imports)",-0.5058732032775879
992,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.502417802810669
474,Mineral rents (% of GDP),-0.495221883058548
669,"Prevalence of HIV, male (% ages 15-24)",-0.492746502161026
216,"Industry (including construction), value added (annual % growth)",-0.49015021324157715
874,"Suicide mortality rate, female (per 100,000 female population)",-0.48803630471229553
373,"Primary education, duration (years)",-0.4874136447906494
838,"Population, female (% of total)",-0.48040419816970825
651,Law mandates paid or unpaid maternity leave (1=yes; 0=no),-0.46525776386260986
11,Agricultural raw materials imports (% of merchandise imports),-0.4634186923503876
375,"Primary education, pupils (% female)",-0.4500282406806946
143,GNI growth (annual %),-0.44243210554122925
437,"Trained teachers in secondary education, male (% of male teachers)",-0.4365207552909851
605,"Risk premium on lending (lending rate minus treasury bill rate, %)",-0.43545305728912354
969,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.43397146463394165
505,CO2 emissions from solid fuel consumption (% of total),-0.42961329221725464
1106,Manufactures imports (% of merchandise imports),-0.4269874691963196
483,Renewable electricity output (% of total electricity output),-0.42346224188804626
302,"Compulsory education, duration (years)",-0.4233793318271637
276,Taxes less subsidies on products (current US$),-0.4226675033569336
664,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),-0.4192364811897278
661,"Mortality rate, adult, male (per 1,000 male adults)",-0.4157261848449707
225,Interest payments on external debt (% of GNI),-0.41228118538856506
2,Agricultural land (% of land area),-0.4113002419471741
521,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",-0.4105948805809021
691,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",-0.4079623520374298
118,"Foreign direct investment, net (BoP, current US$)",-0.40692138671875
606,S&P Global Equity Indices (annual % change),-0.40520113706588745
1119,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),-0.40511149168014526
876,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",-0.4009801745414734
990,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",-0.395413875579834
878,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",-0.3904449939727783
339,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",-0.38871756196022034
195,Households and NPISHs Final consumption expenditure (annual % growth),-0.3854837417602539
726,"Contraceptive prevalence, modern methods (% of women ages 15-49)",-0.3854132890701294
715,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),-0.3843764066696167
617,"Child employment in agriculture, male (% of male economically active children ages 7-14)",-0.3809047341346741
646,Firms with female top manager (% of firms),-0.3788505792617798
842,"Prevalence of HIV, total (% of population ages 15-49)",-0.376790851354599
164,Gross capital formation (annual % growth),-0.3757277727127075
8,Agricultural nitrous oxide emissions (% of total),-0.3704124689102173
432,Trained teachers in primary education (% of total teachers),-0.3669144809246063
87,Current account balance (% of GDP),-0.36235755681991577
433,"Trained teachers in primary education, female (% of female teachers)",-0.35898035764694214
856,Prevalence of undernourishment (% of population),-0.358015239238739
434,"Trained teachers in primary education, male (% of male teachers)",-0.3558305501937866
588,"Inflation, GDP deflator: linked series (annual %)",-0.3545299172401428
428,"Trained teachers in lower secondary education, male (% of male teachers)",-0.35089606046676636
725,Consumption of iodized salt (% of households),-0.3497326374053955
102,External balance on goods and services (% of GDP),-0.3470248281955719
470,GDP per unit of energy use (PPP $ per kg of oil equivalent),-0.3464430272579193
410,"School enrollment, secondary, private (% of total secondary)",-0.3434630036354065
592,Lending interest rate (%),-0.3431716561317444
929,Child employment in agriculture (% of economically active children ages 7-14),-0.34013956785202026
1083,Import volume index (2000 = 100),-0.33959001302719116
286,"Transport services (% of service exports, BoP)",-0.33881399035453796
616,"Child employment in agriculture, female (% of female economically active children ages 7-14)",-0.32695335149765015
337,"Government expenditure per student, secondary (% of GDP per capita)",-0.32627320289611816
221,"Inflation, GDP deflator (annual %)",-0.3253406286239624
173,Gross fixed capital formation (% of GDP),-0.32517188787460327
544,People using safely managed sanitation services (% of population),-0.3239319324493408
5,"Agricultural machinery, tractors per 100 sq. km of arable land",-0.3238397240638733
16,Arable land (hectares per person),-0.3226589262485504
17,Arable land (hectares),-0.319679856300354
427,"Trained teachers in lower secondary education, female (% of female teachers)",-0.3185408115386963
340,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",-0.31754979491233826
471,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),-0.31714749336242676
935,"Children in employment, study and work (% of children in employment, ages 7-14)",-0.31361040472984314
81,Changes in inventories (current US$),-0.3133831024169922
1160,Travel services (% of commercial service exports),-0.31297433376312256
625,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",-0.31265518069267273
341,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.31261318922042847
27,Food production index (2004-2006 = 100),-0.3121172785758972
690,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",-0.3114483952522278
923,"Average working hours of children, working only, female, ages 7-14 (hours per week)",-0.3112584352493286
983,"Labor force participation rate for ages 15-24, male (%) (national estimate)",-0.3076537251472473
909,"Railways, goods transported (million ton-km)",-0.3050892651081085
304,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",-0.3033331036567688
436,"Trained teachers in secondary education, female (% of female teachers)",-0.302595853805542
939,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",-0.29749539494514465
426,Trained teachers in lower secondary education (% of total teachers),-0.2929922342300415
753,"Incidence of tuberculosis (per 100,000 people)",-0.2926482558250427
1080,Food exports (% of merchandise exports),-0.29196131229400635
921,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",-0.2907451391220093
552,Renewable internal freshwater resources per capita (cubic meters),-0.2902263402938843
435,Trained teachers in secondary education (% of total teachers),-0.28947582840919495
484,Renewable energy consumption (% of total final energy consumption),-0.288581907749176
975,Female share of employment in senior and middle management (%),-0.2737537920475006
46,Adjusted net national income (annual % growth),-0.2691606283187866
400,"School enrollment, primary, male (% gross)",-0.26750022172927856
578,Claims on private sector (annual growth as % of broad money),-0.26535114645957947
249,"Net trade in goods and services (BoP, current US$)",-0.2653014659881592
105,External balance on goods and services (current US$),-0.2610248923301697
485,Time required to get electricity (days),-0.26100510358810425
387,"Pupil-teacher ratio, upper secondary",-0.26014018058776855
319,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",-0.25977054238319397
310,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",-0.2595912218093872
363,"Persistence to grade 5, total (% of cohort)",-0.25948137044906616
598,Net migration,-0.2575671076774597
79,Changes in inventories (constant LCU),-0.2566307485103607
551,Population living in slums (% of urban population),-0.25582459568977356
877,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",-0.2556189298629761
259,Price level ratio of PPP conversion factor (GDP) to market exchange rate,-0.2550995647907257
56,Adjusted savings: carbon dioxide damage (% of GNI),-0.25350233912467957
919,"Average working hours of children, study and work, ages 7-14 (hours per week)",-0.253135085105896
454,Electricity production from hydroelectric sources (% of total),-0.25074416399002075
884,Vitamin A supplementation coverage rate (% of children ages 6-59 months),-0.25009503960609436
503,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",-0.24981309473514557
1049,High-technology exports (% of manufactured exports),-0.24766606092453003
624,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",-0.24733704328536987
865,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),-0.2469143122434616
495,CO2 emissions (kg per 2011 PPP $ of GDP),-0.2467859387397766
744,External health expenditure per capita (current US$),-0.24456149339675903
674,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",-0.24443797767162323
288,"Travel services (% of service exports, BoP)",-0.24372777342796326
384,"Pupil-teacher ratio, primary",-0.24248817563056946
482,Pump price for gasoline (US$ per liter),-0.24238133430480957
228,"Manufacturing, value added (% of GDP)",-0.24190202355384827
563,Urban population living in areas where elevation is below 5 meters (% of total population),-0.24076144397258759
248,"Net trade in goods (BoP, current US$)",-0.24066369235515594
724,Completeness of total death reporting (% of reported total deaths to estimated total deaths),-0.2399645745754242
668,"Prevalence of HIV, female (% ages 15-24)",-0.2375936508178711
481,Pump price for diesel fuel (US$ per liter),-0.2357734888792038
117,"Food, beverages and tobacco (% of value added in manufacturing)",-0.23566535115242004
524,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",-0.2333899885416031
558,Total greenhouse gas emissions (% change from 1990),-0.2329634428024292
658,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",-0.23135502636432648
226,"Interest payments on external debt (% of exports of goods, services and primary income)",-0.22845712304115295
392,"School enrollment, preprimary, female (% gross)",-0.2282586693763733
978,"Informal employment, female (% of total non-agricultural employment)",-0.22803202271461487
86,"Communications, computer, etc. (% of service imports, BoP)",-0.22691336274147034
393,"School enrollment, preprimary, male (% gross)",-0.22666630148887634
362,"Persistence to grade 5, male (% of cohort)",-0.22581659257411957
979,"Informal employment, male (% of total non-agricultural employment)",-0.2256273478269577
982,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",-0.225393146276474
449,Combustible renewables and waste (% of total energy),-0.22494131326675415
642,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",-0.2243891954421997
325,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",-0.22431017458438873
1149,"Tariff rate, most favored nation, simple mean, primary products (%)",-0.22380271553993225
397,"School enrollment, primary and secondary (gross), gender parity index (GPI)",-0.22320711612701416
391,"School enrollment, preprimary (% gross)",-0.22272498905658722
361,"Persistence to grade 5, female (% of cohort)",-0.22203771770000458
190,Gross savings (current US$),-0.21926848590373993
936,"Children in employment, total (% of children ages 7-14)",-0.21874597668647766
1031,Income share held by highest 10%,-0.21804076433181763
1134,Net barter terms of trade index (2000 = 100),-0.21765033900737762
622,"Children in employment, female (% of female children ages 7-14)",-0.21514791250228882
275,Taxes less subsidies on products (current LCU),-0.21415293216705322
383,"Pupil-teacher ratio, preprimary",-0.21291418373584747
513,Forest rents (% of GDP),-0.21283328533172607
1037,Poverty gap at $1.90 a day (2011 PPP) (%),-0.21262790262699127
550,Population living in areas where elevation is below 5 meters (% of total population),-0.21245218813419342
1013,"Unemployment with basic education, female (% of female labor force with basic education)",-0.21208316087722778
666,"Part time employment, male (% of total male employment)",-0.21195286512374878
170,Gross domestic savings (% of GDP),-0.21065686643123627
65,Adjusted savings: mineral depletion (% of GNI),-0.21021196246147156
754,Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),-0.20989185571670532
522,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",-0.20951882004737854
656,Lifetime risk of maternal death (%),-0.20929798483848572
623,"Children in employment, male (% of male children ages 7-14)",-0.20755437016487122
546,"People using safely managed sanitation services, urban (% of urban population)",-0.20686429738998413
1158,Transport services (% of commercial service exports),-0.20665788650512695
702,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,-0.2049432247877121
710,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",-0.20312464237213135
1143,"Tariff rate, applied, simple mean, primary products (%)",-0.2007531076669693
572,Broad money growth (annual %),-0.19962862133979797
354,Lower secondary school starting age (years),-0.19803619384765625
1082,Import value index (2000 = 100),-0.1973649263381958
12,"Agriculture, forestry, and fishing, value added (% of GDP)",-0.19735512137413025
49,Adjusted net national income per capita (annual % growth),-0.19592498242855072
660,"Mortality rate, adult, female (per 1,000 female adults)",-0.1949431151151657
71,Adjusted savings: net national savings (current US$),-0.19463422894477844
55,"Adjusted net savings, including particulate emission damage (current US$)",-0.1936347931623459
494,CO2 emissions (kg per 2010 US$ of GDP),-0.1929492950439453
496,CO2 emissions (kg per PPP $ of GDP),-0.19147326052188873
53,"Adjusted net savings, excluding particulate emission damage (current US$)",-0.19135457277297974
723,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),-0.18972431123256683
312,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",-0.18788263201713562
508,CO2 intensity (kg per kg of oil equivalent energy use),-0.18717780709266663
757,"Mortality caused by road traffic injury (per 100,000 people)",-0.18346290290355682
977,Informal employment (% of total non-agricultural employment),-0.1816340684890747
326,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",-0.1806720495223999
321,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",-0.17990660667419434
730,"Death rate, crude (per 1,000 people)",-0.17945894598960876
327,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",-0.1790773719549179
663,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),-0.17885072529315948
667,Pregnant women receiving prenatal care (%),-0.17856881022453308
962,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),-0.17683742940425873
853,"Prevalence of stunting, height for age (% of children under 5)",-0.17625422775745392
1032,Income share held by highest 20%,-0.17532648146152496
893,ICT goods exports (% of total goods exports),-0.17481255531311035
1048,Urban poverty headcount ratio at national poverty lines (% of urban population),-0.17241357266902924
394,"School enrollment, primary (% gross)",-0.17136473953723907
1130,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),-0.17127379775047302
227,Machinery and transport equipment (% of value added in manufacturing),-0.17054177820682526
613,Wholesale price index (2010 = 100),-0.16928617656230927
398,"School enrollment, primary, female (% gross)",-0.169215589761734
1045,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",-0.1671997606754303
271,"Services, value added (constant 2010 US$)",-0.16558465361595154
583,Depth of credit information index (0=low to 8=high),-0.16489142179489136
480,Ores and metals imports (% of merchandise imports),-0.164876326918602
338,"Government expenditure per student, tertiary (% of GDP per capita)",-0.1645878553390503
174,Gross fixed capital formation (annual % growth),-0.16438350081443787
413,"School enrollment, tertiary, female (% gross)",-0.16319391131401062
920,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",-0.16309885680675507
229,"Manufacturing, value added (annual % growth)",-0.16224856674671173
863,Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),-0.1598319709300995
453,Electricity production from coal sources (% of total),-0.15792515873908997
1122,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",-0.15768560767173767
412,"School enrollment, tertiary (gross), gender parity index (GPI)",-0.15598246455192566
894,ICT goods imports (% total goods imports),-0.15551021695137024
1155,"Time to export, documentary compliance (hours)",-0.1550447791814804
205,"ICT service exports (% of service exports, BoP)",-0.1546550989151001
650,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),-0.15428173542022705
270,"Services, value added (annual % growth)",-0.15384024381637573
1002,"Part time employment, total (% of total employment)",-0.15301765501499176
14,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",-0.15199416875839233
528,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-0.1518237590789795
289,"Travel services (% of service imports, BoP)",-0.14884546399116516
1096,"Lead time to export, median case (days)",-0.1481485664844513
855,"Prevalence of stunting, height for age, male (% of children under 5)",-0.14492423832416534
320,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",-0.14363941550254822
41,Rural poverty gap at national poverty lines (%),-0.14327770471572876
766,"Mortality rate, neonatal (per 1,000 live births)",-0.14265935122966766
59,Adjusted savings: consumption of fixed capital (current US$),-0.1408403068780899
371,"Primary completion rate, male (% of relevant age group)",-0.1407584547996521
399,"School enrollment, primary, female (% net)",-0.1391235589981079
372,"Primary completion rate, total (% of relevant age group)",-0.13866978883743286
396,"School enrollment, primary (gross), gender parity index (GPI)",-0.1384279876947403
854,"Prevalence of stunting, height for age, female (% of children under 5)",-0.13821479678153992
739,Domestic private health expenditure (% of current health expenditure),-0.1382012516260147
512,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",-0.1380791962146759
360,"Over-age students, primary, male (% of male enrollment)",-0.13649384677410126
1056,Technicians in R&D (per million people),-0.13606560230255127
314,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",-0.13470372557640076
382,"Pupil-teacher ratio, lower secondary",-0.1345979869365692
781,"Nurses and midwives (per 1,000 people)",-0.13446326553821564
313,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",-0.13386034965515137
545,"People using safely managed sanitation services, rural (% of rural population)",-0.13308845460414886
1053,Research and development expenditure (% of GDP),-0.13248050212860107
927,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),-0.13070526719093323
767,"Mortality rate, under-5 (per 1,000 live births)",-0.12931698560714722
1038,Poverty gap at $3.20 a day (2011 PPP) (%),-0.12801054120063782
38,Rural population (% of total population),-0.12770643830299377
61,Adjusted savings: education expenditure (current US$),-0.12623107433319092
959,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),-0.12601372599601746
599,"Official exchange rate (LCU per US$, period average)",-0.12601137161254883
476,Nitrous oxide emissions in energy sector (% of total),-0.12428313493728638
763,"Mortality rate, infant (per 1,000 live births)",-0.1239313930273056
1101,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),-0.12390421330928802
689,Wanted fertility rate (births per woman),-0.12366460263729095
82,"Charges for the use of intellectual property, payments (BoP, current US$)",-0.1229868084192276
699,Women who were first married by age 18 (% of women ages 20-24),-0.12292202562093735
769,"Mortality rate, under-5, male (per 1,000 live births)",-0.12231643497943878
419,"Secondary education, pupils (% female)",-0.12212103605270386
1041,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),-0.12143798917531967
652,Law prohibits or invalidates child or early marriage (1=yes; 0=no),-0.12134288251399994
401,"School enrollment, primary, male (% net)",-0.11991486698389053
1152,"Tariff rate, most favored nation, weighted mean, primary products (%)",-0.11939346045255661
857,"Prevalence of underweight, weight for age (% of children under 5)",-0.11933226883411407
1029,GINI index (World Bank estimate),-0.11854816228151321
765,"Mortality rate, infant, male (per 1,000 live births)",-0.1181153878569603
1104,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),-0.11797737330198288
333,Expenditure on tertiary education (% of government expenditure on education),-0.11767823249101639
24,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",-0.1158362329006195
670,"Prevalence of underweight, weight for age, female (% of children under 5)",-0.11465254426002502
1133,Merchandise trade (% of GDP),-0.11402340233325958
1164,Population in the largest city (% of urban population),-0.11235827207565308
144,GNI per capita (constant 2010 US$),-0.11203110963106155
133,GDP per capita growth (annual %),-0.1115906685590744
1001,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",-0.11149574816226959
657,Lifetime risk of maternal death (1 in: rate varies by country),-0.11115337163209915
328,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",-0.11114425957202911
728,Current health expenditure per capita (current US$),-0.10965655744075775
29,Forest area (sq. km),-0.10879041254520416
93,Exports as a capacity to import (constant LCU),-0.10800541192293167
211,Imports of goods and services (constant LCU),-0.10756832361221313
98,Exports of goods and services (constant LCU),-0.10608623921871185
128,GDP growth (annual %),-0.10472454130649567
99,Exports of goods and services (current LCU),-0.10344033688306808
764,"Mortality rate, infant, female (per 1,000 live births)",-0.10343687236309052
490,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",-0.10303942859172821
307,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",-0.10272172093391418
1076,"Cost to import, documentary compliance (US$)",-0.10261019319295883
862,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),-0.1026047021150589
773,Number of maternal deaths,-0.10183298587799072
22,Employment in agriculture (% of total employment) (modeled ILO estimate),-0.10148836672306061
1137,"Share of tariff lines with international peaks, primary products (%)",-0.10059082508087158
356,"Net intake rate in grade 1, female (% of official school-age population)",-0.10044573247432709
768,"Mortality rate, under-5, female (per 1,000 live births)",-0.09990929067134857
1025,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.09880569577217102
23,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",-0.09858083724975586
63,Adjusted savings: energy depletion (current US$),-0.09745939075946808
242,Net primary income (Net income from abroad) (current LCU),-0.0964093804359436
315,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",-0.0962577760219574
1066,"Bound rate, simple mean, all products (%)",-0.09619881212711334
601,Private credit bureau coverage (% of adults),-0.09605828672647476
395,"School enrollment, primary (% net)",-0.09549415111541748
129,GDP per capita (constant 2010 US$),-0.09422485530376434
677,"Self-employed, male (% of male employment) (modeled ILO estimate)",-0.09367574751377106
644,"Fertility rate, total (births per woman)",-0.09366190433502197
67,Adjusted savings: natural resources depletion (% of GNI),-0.09325532615184784
273,Short-term debt (% of total reserves),-0.09299660474061966
643,Female headed households (% of households with a female head),-0.09258238226175308
1098,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),-0.09130501747131348
148,"GNI per capita, Atlas method (current US$)",-0.09086304903030396
529,PFC gas emissions (thousand metric tons of CO2 equivalent),-0.0905618965625763
571,Broad money (current LCU),-0.08919896185398102
331,Expenditure on primary education (% of government expenditure on education),-0.0890544131398201
370,"Primary completion rate, female (% of relevant age group)",-0.08756131678819656
630,"Contraceptive prevalence, any methods (% of women ages 15-49)",-0.08750112354755402
1131,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),-0.08745750784873962
883,Use of insecticide-treated bed nets (% of under-5 population),-0.08620398491621017
188,Gross savings (% of GNI),-0.08581127971410751
686,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",-0.08569809794425964
1039,Poverty gap at $5.50 a day (2011 PPP) (%),-0.0856570303440094
330,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",-0.08489037305116653
676,"Self-employed, female (% of female employment) (modeled ILO estimate)",-0.08443633466959
